Location,Link,Price (€),Area (m²),Hab
"Can Vidalet, Esplugues de Llobregat",https://www.idealista.com/obra-nueva/103080178/inmueble/103084332/,364500 ,59 ,2 
"Can Vidalet, Esplugues de Llobregat",https://www.idealista.com/obra-nueva/103080178/inmueble/103084429/,390000 ,68 ,2 
"Can Vidalet, Esplugues de Llobregat",https://www.idealista.com/obra-nueva/103080178/inmueble/103085577/,480000 ,90 ,3 
Barberà del Vallès,https://www.idealista.com/obra-nueva/105610205/inmueble/108258140/,248000 ,73 ,2 
Barberà del Vallès,https://www.idealista.com/obra-nueva/105610205/inmueble/108850817/,274000 ,93 ,3 
Barberà del Vallès,https://www.idealista.com/obra-nueva/105610205/inmueble/108850770/,274000 ,93 ,3 
Barberà del Vallès,https://www.idealista.com/obra-nueva/105610205/inmueble/108258135/,276000 ,93 ,3 
Barberà del Vallès,https://www.idealista.com/obra-nueva/105610205/inmueble/108905465/,281000 ,97 ,3 
Barberà del Vallès,https://www.idealista.com/obra-nueva/105610205/inmueble/108439679/,288000 ,96 ,3 
Barberà del Vallès,https://www.idealista.com/obra-nueva/105610205/inmueble/108850836/,304000 ,104 ,3 
Barberà del Vallès,https://www.idealista.com/obra-nueva/105610205/inmueble/108258157/,334000 ,129 ,4 
Olesa de Bonesvalls,https://www.idealista.com/obra-nueva/108073319/inmueble/108083251/,249000 ,90 ,3 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/106765395/inmueble/106815970/,250000 ,67 ,2 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/106765395/inmueble/106996848/,345000 ,93 ,3 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/106765395/inmueble/107502512/,360000 ,97 ,3 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/106765395/inmueble/106815972/,462000 ,129 ,4 
Barberà del Vallès,https://www.idealista.com/obra-nueva/108034674/inmueble/108045240/,250000 ,78 ,3 
Barberà del Vallès,https://www.idealista.com/obra-nueva/108034674/inmueble/108222122/,260000 ,75 ,3 
"Llefià, Badalona",https://www.idealista.com/obra-nueva/105381122/inmueble/105391891/,252000 ,86 ,2 
"Llefià, Badalona",https://www.idealista.com/obra-nueva/105381122/inmueble/105391823/,291500 ,99 ,3 
"Llefià, Badalona",https://www.idealista.com/obra-nueva/101126224/inmueble/101138047/,252000 ,86 ,2 
"Llefià, Badalona",https://www.idealista.com/obra-nueva/101126224/inmueble/101137987/,291500 ,100 ,3 
Canyelles,https://www.idealista.com/obra-nueva/107538222/inmueble/107541817/,252000 ,90 ,3 
Canyelles,https://www.idealista.com/obra-nueva/107538222/inmueble/107541792/,306000 ,120 ,3 
Canyelles,https://www.idealista.com/obra-nueva/107538222/inmueble/107541818/,324000 ,130 ,3 
Vallirana,https://www.idealista.com/obra-nueva/107372272/inmueble/107374373/,253615 ,70 ,2 
Vallirana,https://www.idealista.com/obra-nueva/107372272/inmueble/107374480/,292278 ,101 ,3 
Vallirana,https://www.idealista.com/obra-nueva/107372272/inmueble/107374475/,300943 ,75 ,2 
Vallirana,https://www.idealista.com/obra-nueva/107372272/inmueble/107374479/,347608 ,141 ,3 
Vallirana,https://www.idealista.com/obra-nueva/107372272/inmueble/107374474/,349120 ,123 ,3 
Vallirana,https://www.idealista.com/obra-nueva/107372272/inmueble/107374507/,378634 ,120 ,4 
"Plaça Catalunya - Vinyets, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/105841723/inmueble/105852645/,258000 ,65 ,2 
"Plaça Catalunya - Vinyets, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/105841723/inmueble/106570510/,372000 ,110 ,3 
Vilassar de Dalt,https://www.idealista.com/obra-nueva/105821619/inmueble/105823138/,260000 ,53 ,2 
Vilassar de Dalt,https://www.idealista.com/obra-nueva/105821619/inmueble/105823198/,310000 ,61 ,2 
Vilassar de Dalt,https://www.idealista.com/obra-nueva/105821619/inmueble/105823183/,310000 ,61 ,2 
Vilassar de Dalt,https://www.idealista.com/obra-nueva/105821619/inmueble/105823123/,385000 ,97 ,3 
Begues,https://www.idealista.com/obra-nueva/96862217/inmueble/96863303/,260000 ,70 ,2 
Begues,https://www.idealista.com/obra-nueva/96862217/inmueble/98480708/,303345 ,96 ,2 
Begues,https://www.idealista.com/obra-nueva/96862217/inmueble/96863376/,337050 ,94 ,3 
Begues,https://www.idealista.com/obra-nueva/96862217/inmueble/104630500/,460000 ,164 ,5 
"Via Europa - Parque Central, Mataró",https://www.idealista.com/obra-nueva/103548984/inmueble/105342217/,263000 ,77 ,3 
"Via Europa - Parque Central, Mataró",https://www.idealista.com/obra-nueva/103548984/inmueble/105342218/,428000 ,83 ,3 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/inmueble/108628634/,270000 ,72 ,2 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/inmueble/108144417/,356000 ,109 ,3 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/inmueble/107715513/,364000 ,116 ,3 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/inmueble/107114598/,370000 ,115 ,3 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/inmueble/108628676/,507000 ,148 ,3 
"Plana LLedó, Mollet del Vallès",https://www.idealista.com/obra-nueva/103032270/inmueble/107987203/,270000 ,95 ,3 
"Plana LLedó, Mollet del Vallès",https://www.idealista.com/obra-nueva/103032270/inmueble/107279642/,297000 ,95 ,3 
"Plana LLedó, Mollet del Vallès",https://www.idealista.com/obra-nueva/103032270/inmueble/108294878/,297000 ,93 ,3 
"Plana LLedó, Mollet del Vallès",https://www.idealista.com/obra-nueva/103032270/inmueble/108294714/,302000 ,92 ,3 
"Plana LLedó, Mollet del Vallès",https://www.idealista.com/obra-nueva/103032270/inmueble/108294645/,307500 ,93 ,3 
"Plana LLedó, Mollet del Vallès",https://www.idealista.com/obra-nueva/103032270/inmueble/107279535/,313000 ,93 ,3 
"Can Pantiquet, Mollet del Vallès",https://www.idealista.com/obra-nueva/103377737/inmueble/106621697/,270000 ,97 ,3 
"Can Pantiquet, Mollet del Vallès",https://www.idealista.com/obra-nueva/103377737/inmueble/105225813/,285000 ,101 ,3 
"Can Pantiquet, Mollet del Vallès",https://www.idealista.com/obra-nueva/103377737/inmueble/105225833/,295000 ,101 ,3 
"Can Pantiquet, Mollet del Vallès",https://www.idealista.com/obra-nueva/103377737/inmueble/105225887/,312000 ,98 ,3 
La Llagosta,https://www.idealista.com/obra-nueva/108619819/inmueble/108682706/,270500 ,52 ,1 
La Llagosta,https://www.idealista.com/obra-nueva/108619819/inmueble/108682650/,275300 ,56 ,1 
La Llagosta,https://www.idealista.com/obra-nueva/108619819/inmueble/108682602/,290700 ,68 ,2 
"La Trinitat Vella, Barcelona",https://www.idealista.com/obra-nueva/107853770/inmueble/108306742/,273000 ,61 ,2 
"Plaça Catalunya - Vinyets, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/106726888/inmueble/106733018/,274500 ,64 ,2 
"Plaça Catalunya - Vinyets, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/106726888/inmueble/106733039/,277000 ,54 ,2 
"Plaça Catalunya - Vinyets, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/106726888/inmueble/106733050/,362000 ,79 ,3 
"Plaça Catalunya - Vinyets, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/106726888/inmueble/106733003/,447500 ,97 ,3 
"Plaça Catalunya - Vinyets, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/106726888/inmueble/106733047/,492500 ,121 ,3 
"Santa Rosa - Can Mariner, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/105215019/inmueble/105219384/,275000 ,69 ,3 
"Santa Rosa - Can Mariner, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/105215019/inmueble/105219421/,335000 ,83 ,3 
"Santa Rosa - Can Mariner, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/105215019/inmueble/105219420/,335000 ,83 ,3 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/106829719/inmueble/106936332/,275000 ,90 ,3 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/106829719/inmueble/106936361/,305000 ,90 ,3 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/106829719/inmueble/106936331/,371000 ,115 ,4 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/106829719/inmueble/106936337/,411000 ,129 ,4 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/106829719/inmueble/106936341/,471000 ,166 ,4 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/107085157/inmueble/107367236/,275368 ,73 ,2 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/107085157/inmueble/107367256/,287576 ,73 ,2 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/107085157/inmueble/107367208/,288598 ,78 ,2 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/107085157/inmueble/107367298/,299784 ,73 ,2 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/107085157/inmueble/107367223/,301436 ,78 ,2 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/107085157/inmueble/107367211/,314274 ,78 ,2 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/107085157/inmueble/107367137/,314867 ,80 ,2 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/107085157/inmueble/107367214/,522930 ,108 ,3 
"La Girada, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/107085157/inmueble/107367244/,583672 ,110 ,3 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/106017867/inmueble/106037286/,276000 ,107 ,3 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/106017867/inmueble/108485679/,278000 ,104 ,3 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/106017867/inmueble/106037384/,296000 ,107 ,3 
"Centre - Casco Antiguo, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/108000423/inmueble/108008145/,279000 ,65 ,2 
"Centre - Casco Antiguo, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/108000423/inmueble/108460450/,289000 ,65 ,2 
Parets del Vallès,https://www.idealista.com/obra-nueva/107888104/inmueble/107918082/,282000 ,133 ,3 
Parets del Vallès,https://www.idealista.com/obra-nueva/107888104/inmueble/107918257/,299000 ,121 ,3 
Parets del Vallès,https://www.idealista.com/obra-nueva/107888104/inmueble/107918345/,319000 ,125 ,3 
Parets del Vallès,https://www.idealista.com/obra-nueva/107888104/inmueble/107918456/,69000 ,N/A,N/A
"Centre - Casco Antiguo, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/106696696/inmueble/106697976/,284000 ,89 ,2 
"Centre - Casco Antiguo, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/106696696/inmueble/106698075/,420000 ,142 ,3 
"Centre - Casco Antiguo, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/106696696/inmueble/106698030/,455000 ,155 ,3 
"Centre - Casco Antiguo, Sant Boi de Llobregat",https://www.idealista.com/obra-nueva/106696696/inmueble/106698086/,495000 ,139 ,3 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/106393722/inmueble/106427216/,284500 ,65 ,2 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/106393722/inmueble/106427221/,311500 ,69 ,2 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/106393722/inmueble/106427239/,356000 ,82 ,3 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/106393722/inmueble/106427229/,362000 ,82 ,3 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/106393722/inmueble/106427208/,365000 ,82 ,3 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/106393722/inmueble/107233135/,800000 ,N/A,N/A
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/106393722/inmueble/107233143/,3750 /Mes,N/A,N/A
"Parc d'Alba, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/106812185/inmueble/108841664/,285000 ,63 ,1 
